chapter,page,url,description,note
0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Review_of_the_War_Galleys_at_Tahiti_%28%27The_Fleet_of_Otaheite_assembled_at_Oparee%27%29_RMG_BHC2395.tiff/lossy-page1-1280px-Review_of_the_War_Galleys_at_Tahiti_%28%27The_Fleet_of_Otaheite_assembled_at_Oparee%27%29_RMG_BHC2395.tiff.jpg,The fleet of Tahiti assembled — William Hodges 1774 (public domain),cover
1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Legends_of_Ma-ui-a_demi_god_of_Polynesia_%281910%29_%2814750721926%29.jpg/1280px-Legends_of_Ma-ui-a_demi_god_of_Polynesia_%281910%29_%2814750721926%29.jpg,From Legends of Ma-ui (Westervelt 1910) — Library of Congress scan (no known restrictions),
2,1,https://upload.wikimedia.org/wikipedia/commons/f/f7/Maui_Snaring_the_Sun%2C_pen_and_ink%2C_circa_1927%2C_Honolulu_Academy_of_Arts.jpg,Maui Snaring the Sun — Arman Manookian c.1927 (public domain),
5,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Legends_of_Ma-ui-a_demi_god_of_Polynesia_%281910%29_%2814770569851%29.jpg/1280px-Legends_of_Ma-ui-a_demi_god_of_Polynesia_%281910%29_%2814770569851%29.jpg,A coconut grove in Kona — from the Tuna chapter of Westervelt 1910 (no known restrictions),
7,1,https://upload.wikimedia.org/wikipedia/commons/5/53/KupeWheke.jpg,Kupe with the wheke (octopus) at his feet — carved house post photograph (public domain),
9,1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/David_Howard_Hitchcock%27s_%22_Madame_Pele%22_%284e3de67d-b5f9-4b91-a404-c1257176b14a%29.tif/lossy-page1-1280px-David_Howard_Hitchcock%27s_%22_Madame_Pele%22_%284e3de67d-b5f9-4b91-a404-c1257176b14a%29.tif.jpg,Madame Pele — David Howard Hitchcock (public domain),
10,1,https://upload.wikimedia.org/wikipedia/commons/2/21/Hokule%27aSailing2009.jpg,"Hokule'a voyaging canoe sailing off Honolulu — photo HongKongHuey CC BY 2.0",
